Gene	Pathway
RASAL3	RTK-RAS
SPRED1	RTK-RAS
SPRED2	RTK-RAS
SPRED3	RTK-RAS
DAB2IP	RTK-RAS
SHOC2	RTK-RAS
PPP1CA	RTK-RAS
SCRIB	RTK-RAS
PIN1	RTK-RAS
KSR1	RTK-RAS
KSR2	RTK-RAS
PEBP1	RTK-RAS
ERF	RTK-RAS
PEA15	RTK-RAS
JAK2	RTK-RAS
IRS2	RTK-RAS
TP53	TP53
MDM2	TP53
MDM4	TP53
ATM	TP53
CHEK2	TP53
RPS6KA3	TP53
CHD8	WNT
LEF1	WNT
LGR4	WNT
LGR5	WNT
LRP5	WNT
LRP6	WNT
LZTR1	WNT
NDP	WNT
PORCN	WNT
RSPO1	WNT
SFRP1	WNT
SFRP2	WNT
SFRP4	WNT
SFRP5	WNT
SOST	WNT
TCF7L1	WNT
TLE1	WNT
TLE2	WNT
TLE3	WNT
TLE4	WNT
WIF1	WNT
ZNRF3	WNT
CTNNB1	WNT
DVL1	WNT
DVL2	WNT
DVL3	WNT
FRAT1	WNT
FRAT2	WNT
FZD1	WNT
FZD10	WNT
FZD2	WNT
FZD3	WNT
FZD4	WNT
FZD5	WNT
FZD6	WNT
FZD7	WNT
FZD8	WNT
FZD9	WNT
WNT1	WNT
WNT10A	WNT
WNT10B	WNT
WNT11	WNT
WNT16	WNT
WNT2	WNT
WNT3A	WNT
WNT4	WNT
WNT5A	WNT
WNT5B	WNT
WNT6	WNT
WNT7A	WNT
WNT7B	WNT
WNT8A	WNT
WNT8B	WNT
WNT9A	WNT
WNT9B	WNT
AMER1	WNT
APC	WNT
AXIN1	WNT
AXIN2	WNT
DKK1	WNT
DKK2	WNT
DKK3	WNT
DKK4	WNT
GSK3B	WNT
RNF43	WNT
TCF7	WNT
TCF7L2	WNT
CHD4	WNT
NTHL1	DDR
POLD1	DDR
ATM	DDR
ATR	DDR
BABAM1	DDR
BARD1	DDR
BLM	DDR
BRCA1	DDR
BRCA2	DDR
BRIP1	DDR
CHEK1	DDR
CHEK2	DDR
ERCC2	DDR
ERCC3	DDR
ERCC4	DDR
ERCC5	DDR
ABRAXAS1	DDR
FANCA	DDR
FANCC	DDR
MDC1	DDR
MLH1	DDR
MRE11	DDR
MSH2	DDR
MSH3	DDR
MSH6	DDR
MUTYH	DDR
NBN	DDR
PALB2	DDR
PARP1	DDR
PMS1	DDR
PMS2	DDR
POLE	DDR
RAD21	DDR
RAD50	DDR
RAD51	DDR
RAD51B	DDR
RAD51C	DDR
RAD51D	DDR
RAD52	DDR
RAD54L	DDR
RECQL	DDR
RECQL4	DDR
RTEL1	DDR
SLX4	DDR
TP53BP1	DDR
XRCC2	DDR
ASXL1	EPI
DNMT3A	EPI
EED	EPI
EZH2	EPI
JAK2	EPI
NCOR1	EPI
ARID1A	EPI
ASXL2	EPI
ATRX	EPI
BCOR	EPI
BRD4	EPI
CARM1	EPI
CREBBP	EPI
DAXX	EPI
DNMT1	EPI
DNMT3B	EPI
DOT1L	EPI
EP300	EPI
EZH1	EPI
KDM5A	EPI
KDM5C	EPI
KDM6A	EPI
MEN1	EPI
NCOA3	EPI
NSD1	EPI
PBRM1	EPI
SETD2	EPI
SMARCA4	EPI
SMARCD1	EPI
SMYD3	EPI
SUZ12	EPI
TET1	EPI
TET2	EPI
HIST1H3B	EPI
NSD3	EPI
ARID1B	EPI
ARID2	EPI
CTCF	EPI
H3F3A	EPI
H3F3B	EPI
H3F3C	EPI
HIST1H1C	EPI
HIST1H2BD	EPI
HIST1H3A	EPI
HIST1H3C	EPI
HIST1H3D	EPI
HIST1H3E	EPI
HIST1H3F	EPI
HIST1H3G	EPI
HIST1H3H	EPI
HIST1H3I	EPI
HIST1H3J	EPI
HIST2H3C	EPI
HIST2H3D	EPI
HIST3H3	EPI
IDH1	EPI
IDH2	EPI
KMT2A	EPI
KMT2B	EPI
KMT2C	EPI
KMT2D	EPI
KMT5A	EPI
NSD2	EPI
SMARCB1	EPI
