ONCOTREE_CODE	HIGHEST_LEVEL	n	freq	Freq	label
IDC	LEVEL_3B	117	0.12621359223301	927	IDC n= 927
LUAD	LEVEL_3B	149	0.109801031687546	1357	LUAD n=1357
ILC	LEVEL_3B	15	0.0789473684210526	190	ILC n= 190
PRAD	LEVEL_3B	55	0.0787965616045845	698	PRAD n= 698
SKCM	LEVEL_3B	14	0.0717948717948718	195	SKCM n= 195
GIST	LEVEL_3B	5	0.0364963503649635	137	GIST n= 137
MDLC	LEVEL_3B	2	0.0357142857142857	56	MDLC n=  56
PAAD	LEVEL_4	300	0.78125	384	PAAD n= 384
GBM	LEVEL_4	138	0.482517482517482	286	GBM n= 286
READ	LEVEL_4	46	0.304635761589404	151	READ n= 151
LUSC	LEVEL_4	49	0.288235294117647	170	LUSC n= 170
CSCC	LEVEL_4	15	0.272727272727273	55	CSCC n=  55
UEC	LEVEL_4	25	0.263157894736842	95	UEC n=  95
COADREAD	LEVEL_4	23	0.255555555555556	90	COADREAD n=  90
COAD	LEVEL_4	181	0.25	724	COAD n= 724
CUP	LEVEL_4	35	0.23972602739726	146	CUP n= 146
AASTR	LEVEL_4	19	0.22093023255814	86	AASTR n=  86
ULMS	LEVEL_4	12	0.210526315789474	57	ULMS n=  57
URCC	LEVEL_4	11	0.203703703703704	54	URCC n=  54
MFH	LEVEL_4	12	0.203389830508475	59	MFH n=  59
LUAD	LEVEL_4	248	0.182756079587325	1357	LUAD n=1357
ESCA	LEVEL_4	19	0.169642857142857	112	ESCA n= 112
SKCM	LEVEL_4	31	0.158974358974359	195	SKCM n= 195
PRAD	LEVEL_4	109	0.156160458452722	698	PRAD n= 698
PANET	LEVEL_4	11	0.146666666666667	75	PANET n=  75
SCLC	LEVEL_4	12	0.146341463414634	82	SCLC n=  82
CCRCC	LEVEL_4	28	0.138613861386139	202	CCRCC n= 202
THPD	LEVEL_4	8	0.133333333333333	60	THPD n=  60
CHOL	LEVEL_4	7	0.12280701754386	57	CHOL n=  57
STAD	LEVEL_4	18	0.119205298013245	151	STAD n= 151
SEM	LEVEL_4	9	0.118421052631579	76	SEM n=  76
HGSOC	LEVEL_4	14	0.105263157894737	133	HGSOC n= 133
UTUC	LEVEL_4	8	0.0975609756097561	82	UTUC n=  82
BLCA	LEVEL_4	28	0.0897435897435897	312	BLCA n= 312
MDLC	LEVEL_4	5	0.0892857142857143	56	MDLC n=  56
MCC	LEVEL_4	5	0.0793650793650794	63	MCC n=  63
GIST	LEVEL_4	10	0.072992700729927	137	GIST n= 137
BMGCT	LEVEL_4	5	0.0714285714285714	70	BMGCT n=  70
HCC	LEVEL_4	6	0.0705882352941176	85	HCC n=  85
IDC	LEVEL_4	65	0.0701186623516721	927	IDC n= 927
IHCH	LEVEL_4	8	0.0695652173913043	115	IHCH n= 115
ACYC	LEVEL_4	5	0.0684931506849315	73	ACYC n=  73
THPA	LEVEL_4	6	0.0645161290322581	93	THPA n=  93
ILC	LEVEL_4	12	0.0631578947368421	190	ILC n= 190
NBL	LEVEL_4	2	0.025	80	NBL n=  80
DLBCLNOS	ONCOGENIC	71	0.959459459459459	74	DLBCLNOS n=  74
SCLC	ONCOGENIC	56	0.682926829268293	82	SCLC n=  82
HCC	ONCOGENIC	57	0.670588235294118	85	HCC n=  85
HGSOC	ONCOGENIC	86	0.646616541353383	133	HGSOC n= 133
CCRCC	ONCOGENIC	126	0.623762376237624	202	CCRCC n= 202
PANET	ONCOGENIC	42	0.56	75	PANET n=  75
NBL	ONCOGENIC	40	0.5	80	NBL n=  80
PRAD	ONCOGENIC	336	0.481375358166189	698	PRAD n= 698
ACYC	ONCOGENIC	34	0.465753424657534	73	ACYC n=  73
BMGCT	ONCOGENIC	31	0.442857142857143	70	BMGCT n=  70
ULMS	ONCOGENIC	25	0.43859649122807	57	ULMS n=  57
MFH	ONCOGENIC	24	0.406779661016949	59	MFH n=  59
URCC	ONCOGENIC	21	0.388888888888889	54	URCC n=  54
STAD	ONCOGENIC	58	0.384105960264901	151	STAD n= 151
READ	ONCOGENIC	55	0.364238410596026	151	READ n= 151
COADREAD	ONCOGENIC	32	0.355555555555556	90	COADREAD n=  90
ESCA	ONCOGENIC	35	0.3125	112	ESCA n= 112
LUSC	ONCOGENIC	53	0.311764705882353	170	LUSC n= 170
MDLC	ONCOGENIC	15	0.267857142857143	56	MDLC n=  56
COAD	ONCOGENIC	191	0.263812154696133	724	COAD n= 724
SEM	ONCOGENIC	20	0.263157894736842	76	SEM n=  76
IHCH	ONCOGENIC	28	0.243478260869565	115	IHCH n= 115
MCC	ONCOGENIC	15	0.238095238095238	63	MCC n=  63
CUP	ONCOGENIC	34	0.232876712328767	146	CUP n= 146
IDC	ONCOGENIC	215	0.2319309600863	927	IDC n= 927
BLCA	ONCOGENIC	61	0.195512820512821	312	BLCA n= 312
CHOL	ONCOGENIC	11	0.192982456140351	57	CHOL n=  57
CSCC	ONCOGENIC	10	0.181818181818182	55	CSCC n=  55
THPD	ONCOGENIC	10	0.166666666666667	60	THPD n=  60
ILC	ONCOGENIC	28	0.147368421052632	190	ILC n= 190
LUAD	ONCOGENIC	166	0.122328666175387	1357	LUAD n=1357
UTUC	ONCOGENIC	8	0.0975609756097561	82	UTUC n=  82
GIST	ONCOGENIC	13	0.0948905109489051	137	GIST n= 137
AASTR	ONCOGENIC	4	0.0465116279069767	86	AASTR n=  86
SKCM	ONCOGENIC	9	0.0461538461538462	195	SKCM n= 195
THPA	ONCOGENIC	4	0.043010752688172	93	THPA n=  93
UEC	ONCOGENIC	4	0.0421052631578947	95	UEC n=  95
GBM	ONCOGENIC	10	0.034965034965035	286	GBM n= 286
PAAD	ONCOGENIC	10	0.0260416666666667	384	PAAD n= 384
MCC	NO_LEVEL	32	0.507936507936508	63	MCC n=  63
BMGCT	NO_LEVEL	21	0.3	70	BMGCT n=  70
NBL	NO_LEVEL	19	0.2375	80	NBL n=  80
SEM	NO_LEVEL	18	0.236842105263158	76	SEM n=  76
ACYC	NO_LEVEL	17	0.232876712328767	73	ACYC n=  73
URCC	NO_LEVEL	11	0.203703703703704	54	URCC n=  54
PRAD	NO_LEVEL	89	0.127507163323782	698	PRAD n= 698
STAD	NO_LEVEL	17	0.112582781456954	151	STAD n= 151
HCC	NO_LEVEL	9	0.105882352941176	85	HCC n=  85
PANET	NO_LEVEL	7	0.0933333333333333	75	PANET n=  75
MFH	NO_LEVEL	5	0.0847457627118644	59	MFH n=  59
IHCH	NO_LEVEL	9	0.0782608695652174	115	IHCH n= 115
GIST	NO_LEVEL	10	0.072992700729927	137	GIST n= 137
CHOL	NO_LEVEL	4	0.0701754385964912	57	CHOL n=  57
CUP	NO_LEVEL	10	0.0684931506849315	146	CUP n= 146
CCRCC	NO_LEVEL	12	0.0594059405940594	202	CCRCC n= 202
THPA	NO_LEVEL	5	0.0537634408602151	93	THPA n=  93
LUSC	NO_LEVEL	9	0.0529411764705882	170	LUSC n= 170
DLBCLNOS	NO_LEVEL	3	0.0405405405405405	74	DLBCLNOS n=  74
ULMS	NO_LEVEL	2	0.0350877192982456	57	ULMS n=  57
IDC	NO_LEVEL	31	0.0334412081984898	927	IDC n= 927
THPD	NO_LEVEL	2	0.0333333333333333	60	THPD n=  60
SKCM	NO_LEVEL	5	0.0256410256410256	195	SKCM n= 195
UTUC	NO_LEVEL	2	0.024390243902439	82	UTUC n=  82
BLCA	NO_LEVEL	7	0.0224358974358974	312	BLCA n= 312
LUAD	NO_LEVEL	29	0.0213706705969049	1357	LUAD n=1357
PAAD	NO_LEVEL	7	0.0182291666666667	384	PAAD n= 384
CSCC	NO_LEVEL	1	0.0181818181818182	55	CSCC n=  55
MDLC	NO_LEVEL	1	0.0178571428571429	56	MDLC n=  56
SCLC	NO_LEVEL	1	0.0121951219512195	82	SCLC n=  82
AASTR	NO_LEVEL	1	0.0116279069767442	86	AASTR n=  86
COADREAD	NO_LEVEL	1	0.0111111111111111	90	COADREAD n=  90
ILC	NO_LEVEL	2	0.0105263157894737	190	ILC n= 190
UEC	NO_LEVEL	1	0.0105263157894737	95	UEC n=  95
ESCA	NO_LEVEL	1	0.00892857142857143	112	ESCA n= 112
COAD	NO_LEVEL	5	0.0069060773480663	724	COAD n= 724
READ	NO_LEVEL	1	0.00662251655629139	151	READ n= 151
