cancer_type	gene_symbol_label	n	total_count	freq	percentage	label_text	gene_symbol	pathway	highest_level	highest_level_label	order
BMGCT	ATM Del	2	70	0.0285714285714286	2.85714285714286	3	ATM	TP53	LEVEL_3B	LEVEL_3B	5
CCRCC	ATM Del	6	202	0.0297029702970297	2.97029702970297	3	ATM	TP53	LEVEL_3B	LEVEL_3B	5
CHOL	ATM Del	4	57	0.0701754385964912	7.01754385964912	7	ATM	TP53	LEVEL_3B	LEVEL_3B	5
COAD	ATM Del	38	724	0.0524861878453039	5.24861878453039	5	ATM	TP53	LEVEL_3B	LEVEL_3B	5
COADREAD	ATM Del	1	90	0.0111111111111111	1.11111111111111	1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
CSCC	ATM Del	3	55	0.0545454545454545	5.45454545454545	5	ATM	TP53	LEVEL_3B	LEVEL_3B	5
CUP	ATM Del	2	146	0.0136986301369863	1.36986301369863	1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
ESCA	ATM Del	2	112	0.0178571428571429	1.78571428571429	2	ATM	TP53	LEVEL_3B	LEVEL_3B	5
GBM	ATM Del	2	286	0.00699300699300699	0.699300699300699	<1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
GIST	ATM Del	2	137	0.0145985401459854	1.45985401459854	1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
HCC	ATM Del	2	85	0.0235294117647059	2.35294117647059	2	ATM	TP53	LEVEL_3B	LEVEL_3B	5
HGSOC	ATM Del	2	133	0.0150375939849624	1.50375939849624	2	ATM	TP53	LEVEL_3B	LEVEL_3B	5
IDC	ATM Del	16	927	0.017259978425027	1.7259978425027	2	ATM	TP53	LEVEL_3B	LEVEL_3B	5
IHCH	ATM Del	5	115	0.0434782608695652	4.34782608695652	4	ATM	TP53	LEVEL_3B	LEVEL_3B	5
ILC	ATM Del	3	190	0.0157894736842105	1.57894736842105	2	ATM	TP53	LEVEL_3B	LEVEL_3B	5
LUAD	ATM Del	50	1357	0.0368459837877671	3.68459837877671	4	ATM	TP53	LEVEL_3B	LEVEL_3B	5
LUSC	ATM Del	2	170	0.0117647058823529	1.17647058823529	1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
MCC	ATM Del	2	63	0.0317460317460317	3.17460317460317	3	ATM	TP53	LEVEL_3B	LEVEL_3B	5
MDLC	ATM Del	2	56	0.0357142857142857	3.57142857142857	4	ATM	TP53	LEVEL_3B	LEVEL_3B	5
NBL	ATM Del	4	80	0.05	5	5	ATM	TP53	LEVEL_3B	LEVEL_3B	5
PAAD	ATM Del	5	384	0.0130208333333333	1.30208333333333	1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
PANET	ATM Del	2	75	0.0266666666666667	2.66666666666667	3	ATM	TP53	LEVEL_3B	LEVEL_3B	5
READ	ATM Del	2	151	0.0132450331125828	1.32450331125828	1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
SKCM	ATM Del	8	195	0.041025641025641	4.1025641025641	4	ATM	TP53	LEVEL_3B	LEVEL_3B	5
STAD	ATM Del	1	151	0.00662251655629139	0.662251655629139	<1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
THPA	ATM Del	1	93	0.010752688172043	1.0752688172043	1	ATM	TP53	LEVEL_3B	LEVEL_3B	5
THPD	ATM Del	1	60	0.0166666666666667	1.66666666666667	2	ATM	TP53	LEVEL_3B	LEVEL_3B	5
UEC	ATM Del	11	95	0.115789473684211	11.5789473684211	12	ATM	TP53	LEVEL_3B	LEVEL_3B	5
UTUC	ATM Del	9	82	0.109756097560976	10.9756097560976	11	ATM	TP53	LEVEL_3B	LEVEL_3B	5
PRAD	BARD1 Del	2	698	0.00286532951289398	0.286532951289398	<1	BARD1	DDR	LEVEL_1	LEVEL_1	7
BLCA	BARD1 Del	1	312	0.00320512820512821	0.32051282051282	<1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
CCRCC	BARD1 Del	1	202	0.00495049504950495	0.495049504950495	<1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
COAD	BARD1 Del	5	724	0.0069060773480663	0.69060773480663	<1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
COADREAD	BARD1 Del	1	90	0.0111111111111111	1.11111111111111	1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
CSCC	BARD1 Del	1	55	0.0181818181818182	1.81818181818182	2	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
IDC	BARD1 Del	5	927	0.00539374325782093	0.539374325782093	<1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
LUAD	BARD1 Del	5	1357	0.00368459837877671	0.368459837877671	<1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
MCC	BARD1 Del	1	63	0.0158730158730159	1.58730158730159	2	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
PAAD	BARD1 Del	2	384	0.00520833333333333	0.520833333333333	<1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
READ	BARD1 Del	2	151	0.0132450331125828	1.32450331125828	1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
UEC	BARD1 Del	1	95	0.0105263157894737	1.05263157894737	1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
ULMS	BARD1 Del	2	57	0.0350877192982456	3.50877192982456	4	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
UTUC	BARD1 Del	1	82	0.0121951219512195	1.21951219512195	1	BARD1	DDR	LEVEL_3B	LEVEL_3B	7
COAD	BRAF	63	724	0.0870165745856354	8.70165745856354	9	BRAF	RTK-RAS	LEVEL_1	LEVEL_1	9
COADREAD	BRAF	4	90	0.0444444444444444	4.44444444444444	4	BRAF	RTK-RAS	LEVEL_1	LEVEL_1	9
LUAD	BRAF	24	1357	0.0176860722181282	1.76860722181282	2	BRAF	RTK-RAS	LEVEL_1	LEVEL_1	9
READ	BRAF	3	151	0.0198675496688742	1.98675496688742	2	BRAF	RTK-RAS	LEVEL_1	LEVEL_1	9
SKCM	BRAF	58	195	0.297435897435897	29.7435897435897	30	BRAF	RTK-RAS	LEVEL_1	LEVEL_1	9
SKCM	BRAF Fus	3	195	0.0153846153846154	1.53846153846154	2	BRAF	RTK-RAS	LEVEL_3A	LEVEL_3A	9
BLCA	BRAF	1	312	0.00320512820512821	0.32051282051282	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
CHOL	BRAF Fus	1	57	0.0175438596491228	1.75438596491228	2	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
CHOL	BRAF	2	57	0.0350877192982456	3.50877192982456	4	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
COAD	BRAF Fus	2	724	0.00276243093922652	0.276243093922652	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
CUP	BRAF Fus	1	146	0.00684931506849315	0.684931506849315	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
CUP	BRAF	5	146	0.0342465753424658	3.42465753424658	3	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
GBM	BRAF	2	286	0.00699300699300699	0.699300699300699	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
GIST	BRAF	2	137	0.0145985401459854	1.45985401459854	1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
IHCH	BRAF	2	115	0.0173913043478261	1.73913043478261	2	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
ILC	BRAF Fus	1	190	0.00526315789473684	0.526315789473684	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
LUAD	BRAF Fus	7	1357	0.0051584377302874	0.51584377302874	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
MDLC	BRAF	1	56	0.0178571428571429	1.78571428571429	2	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
MFH	BRAF Fus	1	59	0.0169491525423729	1.69491525423729	2	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
NBL	BRAF	2	80	0.025	2.5	2	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
PAAD	BRAF	2	384	0.00520833333333333	0.520833333333333	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
PAAD	BRAF Fus	5	384	0.0130208333333333	1.30208333333333	1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
PANET	BRAF	7	75	0.0933333333333333	9.33333333333333	9	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
PRAD	BRAF Fus	4	698	0.00573065902578797	0.573065902578797	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
PRAD	BRAF	6	698	0.00859598853868195	0.859598853868195	<1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
THPA	BRAF Fus	1	93	0.010752688172043	1.0752688172043	1	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
THPA	BRAF	60	93	0.645161290322581	64.5161290322581	65	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
THPD	BRAF	10	60	0.166666666666667	16.6666666666667	17	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
THPD	BRAF Fus	1	60	0.0166666666666667	1.66666666666667	2	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
UEC	BRAF	2	95	0.0210526315789474	2.10526315789474	2	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
ULMS	BRAF	2	57	0.0350877192982456	3.50877192982456	4	BRAF	RTK-RAS	LEVEL_3B	LEVEL_3B	9
ESCA	BRAF	1	112	0.00892857142857143	0.892857142857143	<1	BRAF	RTK-RAS	LEVEL_4	LEVEL_4	9
ILC	BRAF	1	190	0.00526315789473684	0.526315789473684	<1	BRAF	RTK-RAS	LEVEL_4	LEVEL_4	9
LUSC	BRAF	2	170	0.0117647058823529	1.17647058823529	1	BRAF	RTK-RAS	LEVEL_4	LEVEL_4	9
SCLC	BRAF	1	82	0.0121951219512195	1.21951219512195	1	BRAF	RTK-RAS	LEVEL_4	LEVEL_4	9
HGSOC	BRCA1 Del	4	133	0.0300751879699248	3.00751879699248	3	BRCA1	DDR	LEVEL_1	LEVEL_1	11
PRAD	BRCA1 Del	4	698	0.00573065902578797	0.573065902578797	<1	BRCA1	DDR	LEVEL_1	LEVEL_1	11
IDC	BRCA1 Del	8	927	0.00862998921251348	0.862998921251348	<1	BRCA1	DDR	LEVEL_2	LEVEL_2	11
ILC	BRCA1 Del	2	190	0.0105263157894737	1.05263157894737	1	BRCA1	DDR	LEVEL_2	LEVEL_2	11
PAAD	BRCA1 Del	3	384	0.0078125	0.78125	<1	BRCA1	DDR	LEVEL_3A	LEVEL_3A	11
BLCA	BRCA1 Del	2	312	0.00641025641025641	0.641025641025641	<1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
COAD	BRCA1 Del	12	724	0.0165745856353591	1.65745856353591	2	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
CSCC	BRCA1 Del	1	55	0.0181818181818182	1.81818181818182	2	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
CUP	BRCA1 Del	2	146	0.0136986301369863	1.36986301369863	1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
ESCA	BRCA1 Del	2	112	0.0178571428571429	1.78571428571429	2	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
IHCH	BRCA1 Del	1	115	0.00869565217391304	0.869565217391304	<1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
LUAD	BRCA1 Del	6	1357	0.00442151805453206	0.442151805453206	<1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
MCC	BRCA1 Del	1	63	0.0158730158730159	1.58730158730159	2	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
MFH	BRCA1 Del	1	59	0.0169491525423729	1.69491525423729	2	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
NBL	BRCA1 Del	1	80	0.0125	1.25	1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
READ	BRCA1 Del	2	151	0.0132450331125828	1.32450331125828	1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
SCLC	BRCA1 Del	1	82	0.0121951219512195	1.21951219512195	1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
SKCM	BRCA1 Del	3	195	0.0153846153846154	1.53846153846154	2	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
STAD	BRCA1 Del	1	151	0.00662251655629139	0.662251655629139	<1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
THPA	BRCA1 Del	1	93	0.010752688172043	1.0752688172043	1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
UEC	BRCA1 Del	2	95	0.0210526315789474	2.10526315789474	2	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
UTUC	BRCA1 Del	1	82	0.0121951219512195	1.21951219512195	1	BRCA1	DDR	LEVEL_3B	LEVEL_3B	11
HGSOC	BRCA2 Del	2	133	0.0150375939849624	1.50375939849624	2	BRCA2	DDR	LEVEL_1	LEVEL_1	13
PRAD	BRCA2 Del	42	698	0.0601719197707736	6.01719197707736	6	BRCA2	DDR	LEVEL_1	LEVEL_1	13
IDC	BRCA2 Del	15	927	0.0161812297734628	1.61812297734628	2	BRCA2	DDR	LEVEL_2	LEVEL_2	13
ILC	BRCA2 Del	5	190	0.0263157894736842	2.63157894736842	3	BRCA2	DDR	LEVEL_2	LEVEL_2	13
MDLC	BRCA2 Del	2	56	0.0357142857142857	3.57142857142857	4	BRCA2	DDR	LEVEL_2	LEVEL_2	13
PAAD	BRCA2 Del	10	384	0.0260416666666667	2.60416666666667	3	BRCA2	DDR	LEVEL_3A	LEVEL_3A	13
AASTR	BRCA2 Del	1	86	0.0116279069767442	1.16279069767442	1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
BLCA	BRCA2 Del	7	312	0.0224358974358974	2.24358974358974	2	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
BMGCT	BRCA2 Del	1	70	0.0142857142857143	1.42857142857143	1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
CHOL	BRCA2 Del	1	57	0.0175438596491228	1.75438596491228	2	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
COAD	BRCA2 Del	23	724	0.031767955801105	3.1767955801105	3	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
CSCC	BRCA2 Del	2	55	0.0363636363636364	3.63636363636364	4	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
CUP	BRCA2 Del	2	146	0.0136986301369863	1.36986301369863	1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
ESCA	BRCA2 Del	1	112	0.00892857142857143	0.892857142857143	<1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
GBM	BRCA2 Del	4	286	0.013986013986014	1.3986013986014	1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
HCC	BRCA2 Del	1	85	0.0117647058823529	1.17647058823529	1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
IHCH	BRCA2 Del	1	115	0.00869565217391304	0.869565217391304	<1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
LUAD	BRCA2 Del	14	1357	0.0103168754605748	1.03168754605748	1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
LUSC	BRCA2 Del	1	170	0.00588235294117647	0.588235294117647	<1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
MCC	BRCA2 Del	4	63	0.0634920634920635	6.34920634920635	6	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
READ	BRCA2 Del	3	151	0.0198675496688742	1.98675496688742	2	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
SCLC	BRCA2 Del	1	82	0.0121951219512195	1.21951219512195	1	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
SKCM	BRCA2 Del	3	195	0.0153846153846154	1.53846153846154	2	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
STAD	BRCA2 Del	5	151	0.033112582781457	3.3112582781457	3	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
UEC	BRCA2 Del	5	95	0.0526315789473684	5.26315789473684	5	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
ULMS	BRCA2 Del	5	57	0.087719298245614	8.7719298245614	9	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
UTUC	BRCA2 Del	2	82	0.024390243902439	2.4390243902439	2	BRCA2	DDR	LEVEL_3B	LEVEL_3B	13
BLCA	BRIP1 Del	2	312	0.00641025641025641	0.641025641025641	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
COAD	BRIP1 Del	4	724	0.00552486187845304	0.552486187845304	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
ESCA	BRIP1 Del	1	112	0.00892857142857143	0.892857142857143	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
GBM	BRIP1 Del	4	286	0.013986013986014	1.3986013986014	1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
HGSOC	BRIP1 Del	1	133	0.0075187969924812	0.75187969924812	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
IDC	BRIP1 Del	4	927	0.00431499460625674	0.431499460625674	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
LUAD	BRIP1 Del	7	1357	0.0051584377302874	0.51584377302874	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
LUSC	BRIP1 Del	1	170	0.00588235294117647	0.588235294117647	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
PAAD	BRIP1 Del	1	384	0.00260416666666667	0.260416666666667	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
SKCM	BRIP1 Del	1	195	0.00512820512820513	0.512820512820513	<1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
UEC	BRIP1 Del	1	95	0.0105263157894737	1.05263157894737	1	BRIP1	DDR	LEVEL_3B	LEVEL_3B	15
PRAD	CDK12 Del	35	698	0.0501432664756447	5.01432664756447	5	CDK12	XXX	LEVEL_1	LEVEL_1	17
BLCA	CDK12 Del	2	312	0.00641025641025641	0.641025641025641	<1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
COAD	CDK12 Del	13	724	0.0179558011049724	1.79558011049724	2	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
CSCC	CDK12 Del	4	55	0.0727272727272727	7.27272727272727	7	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
CUP	CDK12 Del	3	146	0.0205479452054795	2.05479452054794	2	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
ESCA	CDK12 Del	2	112	0.0178571428571429	1.78571428571429	2	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
GBM	CDK12 Del	1	286	0.0034965034965035	0.34965034965035	<1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
HCC	CDK12 Del	1	85	0.0117647058823529	1.17647058823529	1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
HGSOC	CDK12 Del	2	133	0.0150375939849624	1.50375939849624	2	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
IDC	CDK12 Del	9	927	0.00970873786407767	0.970873786407767	<1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
LUAD	CDK12 Del	3	1357	0.00221075902726603	0.221075902726603	<1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
LUSC	CDK12 Del	1	170	0.00588235294117647	0.588235294117647	<1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
PAAD	CDK12 Del	1	384	0.00260416666666667	0.260416666666667	<1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
READ	CDK12 Del	3	151	0.0198675496688742	1.98675496688742	2	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
SCLC	CDK12 Del	1	82	0.0121951219512195	1.21951219512195	1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
SEM	CDK12 Del	2	76	0.0263157894736842	2.63157894736842	3	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
STAD	CDK12 Del	2	151	0.0132450331125828	1.32450331125828	1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
UEC	CDK12 Del	1	95	0.0105263157894737	1.05263157894737	1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
UTUC	CDK12 Del	1	82	0.0121951219512195	1.21951219512195	1	CDK12	XXX	LEVEL_3B	LEVEL_3B	17
PRAD	CHEK1 Del	4	698	0.00573065902578797	0.573065902578797	<1	CHEK1	DDR	LEVEL_1	LEVEL_1	19
BLCA	CHEK1 Del	2	312	0.00641025641025641	0.641025641025641	<1	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
BMGCT	CHEK1 Del	1	70	0.0142857142857143	1.42857142857143	1	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
GBM	CHEK1 Del	1	286	0.0034965034965035	0.34965034965035	<1	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
IDC	CHEK1 Del	2	927	0.00215749730312837	0.215749730312837	<1	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
ILC	CHEK1 Del	1	190	0.00526315789473684	0.526315789473684	<1	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
LUSC	CHEK1 Del	1	170	0.00588235294117647	0.588235294117647	<1	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
MCC	CHEK1 Del	1	63	0.0158730158730159	1.58730158730159	2	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
NBL	CHEK1 Del	2	80	0.025	2.5	2	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
PAAD	CHEK1 Del	1	384	0.00260416666666667	0.260416666666667	<1	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
UEC	CHEK1 Del	3	95	0.0315789473684211	3.15789473684211	3	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
ULMS	CHEK1 Del	1	57	0.0175438596491228	1.75438596491228	2	CHEK1	DDR	LEVEL_3B	LEVEL_3B	19
PRAD	CHEK2 Del	6	698	0.00859598853868195	0.859598853868195	<1	CHEK2	DDR	LEVEL_1	LEVEL_1	21
AASTR	CHEK2 Del	4	86	0.0465116279069767	4.65116279069767	5	CHEK2	DDR	LEVEL_3B	LEVEL_3B	21
COAD	CHEK2 Del	6	724	0.00828729281767956	0.828729281767956	<1	CHEK2	DDR	LEVEL_3B	LEVEL_3B	21
GBM	CHEK2 Del	3	286	0.0104895104895105	1.04895104895105	1	CHEK2	DDR	LEVEL_3B	LEVEL_3B	21
HGSOC	CHEK2 Del	5	133	0.037593984962406	3.7593984962406	4	CHEK2	DDR	LEVEL_3B	LEVEL_3B	21
LUAD	CHEK2 Del	8	1357	0.00589535740604274	0.589535740604274	<1	CHEK2	DDR	LEVEL_3B	LEVEL_3B	21
PANET	CHEK2 Del	2	75	0.0266666666666667	2.66666666666667	3	CHEK2	DDR	LEVEL_3B	LEVEL_3B	21
ULMS	CHEK2 Del	2	57	0.0350877192982456	3.50877192982456	4	CHEK2	DDR	LEVEL_3B	LEVEL_3B	21
PRAD	CHEK2 Del	6	698	0.00859598853868195	0.859598853868195	<1	CHEK2	TP53	LEVEL_1	LEVEL_1	21
AASTR	CHEK2 Del	4	86	0.0465116279069767	4.65116279069767	5	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
BLCA	CHEK2 Del	4	312	0.0128205128205128	1.28205128205128	1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
CCRCC	CHEK2 Del	2	202	0.0099009900990099	0.99009900990099	<1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
COAD	CHEK2 Del	6	724	0.00828729281767956	0.828729281767956	<1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
CSCC	CHEK2 Del	2	55	0.0363636363636364	3.63636363636364	4	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
ESCA	CHEK2 Del	1	112	0.00892857142857143	0.892857142857143	<1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
GBM	CHEK2 Del	3	286	0.0104895104895105	1.04895104895105	1	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
HGSOC	CHEK2 Del	5	133	0.037593984962406	3.7593984962406	4	CHEK2	TP53	LEVEL_3B	LEVEL_3B	21
